,Time,CO2_sillburp,CO2_silli
418,106037.54439370877,37.4444374874433,30.0810096239319
419,106291.22272957889,37.35000975861101,30.00021050500775
420,106544.90106544901,37.2560394009821,29.91978038253538
421,106798.57940131912,37.162523107717234,29.839716889757725
422,107052.25773718924,37.06945760360308,29.760017682538813
423,107305.93607305936,36.97683964473585,29.68068043908074
424,107559.61440892947,36.88466601808639,29.601702859637363
425,107813.29274479959,36.79293354116294,29.523082666152245
426,108066.97108066971,36.701639061689946,29.44481760206082
427,108320.64941653982,36.61077945717706,29.366905431927787
428,108574.32775240994,36.52035163462891,29.289343941214455
429,108828.00608828006,36.43035253017675,29.21213093599191
430,109081.68442415017,36.34077910874844,29.135264242631987
431,109335.36276002029,36.251628363706374,29.058741707605115
432,109589.04109589041,36.16289731656627,28.98256119717413
433,109842.71943176052,36.07458301661609,28.906720597115005
434,110096.39776763064,35.9866825406489,28.831217812536956
435,110350.07610350076,35.899192992576396,28.7560507675492
436,110603.75443937087,35.812111503203475,28.681217405062757
437,110857.43277524099,35.72543522983486,28.606715686537612
438,111111.11111111111,35.63916135603865,28.53254359173736
439,111364.78944698123,35.553287091285895,28.45869911849499
440,111618.46778285134,35.46780967072343,28.38518028247895
441,111872.14611872146,35.38272635481142,28.31198511697301
442,112125.82445459158,35.29803442908433,28.239111672668372
443,112379.50279046169,35.21373120385522,28.166558017377483
444,112633.18112633181,35.12981401391565,28.0943222359148
445,112886.85946220193,35.04628021828609,28.022402429761602
446,113140.53779807204,34.96312719993199,27.950796717001342
447,113394.21613394216,34.880352365480825,27.879503231981296
448,113647.89446981228,34.79795314500003,27.808520125171214
449,113901.57280568239,34.71592699168049,27.737845562960256
450,114155.25114155251,34.634271381598836,27.667477727433713
451,114408.92947742263,34.55298381349887,27.597414816230508
452,114662.60781329274,34.47206180846658,27.527655042271636
453,114916.28614916286,34.39150290977358,27.45819663363997
454,115169.96448503298,34.31130468253475,27.389037833361126
455,115423.64282090309,34.231464713536866,27.320176899253998
456,115677.3211567732,34.15198061097246,27.251612103673118
457,115930.99949264333,34.072850004230006,27.183341733445125
458,116184.67782851344,33.994070543603385,27.11536408958603
459,116438.35616438356,33.91563990012778,27.047677487185457
460,116692.03450025368,33.83755576532006,26.980280255247294
461,116945.71283612378,33.75981585096416,26.913170736469617
462,117199.3911719939,33.68241788886764,26.846347287142112
463,117453.06950786403,33.60535963070514,26.77980827694214
464,117706.74784373413,33.528638847721766,26.713552088786233
465,117960.42617960426,33.452253330599426,26.647577118675994
466,118214.10451547438,33.37620088916513,26.581881775541046
467,118467.7828513445,33.30047935228685,26.51646448109475
468,118721.4611872146,33.22508656756897,26.451323669664102
469,118975.13952308473,33.150020401213716,26.386457788069908
470,119228.81785895485,33.075278737796744,26.32186529545949
471,119482.49619482495,33.000859480094554,26.257544663159603
472,119736.17453069508,32.92676054884541,26.193494374566427
473,119989.8528665652,32.852979882620936,26.129712924962536
474,120243.5312024353,32.77951543758249,26.066198821421334
475,120497.20953830543,32.70636518731647,26.002950582644818
476,120750.88787417555,32.63352712267158,25.93996673883831
477,121004.56621004565,32.5609992515105,25.877245831579515
478,121258.24454591578,32.48877959863876,25.814786413696236
479,121511.9228817859,32.41686620550496,25.752587049116055
480,121765.601217656,32.34525713013246,25.69064631278036
481,122019.27955352612,32.27395044684995,25.62896279048497
482,122272.95788939625,32.20294424623583,25.567535078758947
483,122526.63622526635,32.13223663481078,25.50636178479084
484,122780.31456113647,32.06182573500447,25.445441526237136
485,123033.9928970066,31.99170968490725,25.384772931179445
486,123287.6712328767,31.921886638129752,25.32435463794606
487,123541.34956874682,31.85235476364487,25.264185295038626
488,123795.02790461695,31.78311224564867,25.204263561035425
489,124048.70624048705,31.714157283358535,25.144588104403308
490,124302.38457635717,31.645488090909105,25.08515760349627
491,124556.0629122273,31.577102897152784,25.02597074635376
492,124809.7412480974,31.508999945564028,24.967026230656497
493,125063.41958396752,31.44117749400995,24.908322763606606
494,125317.09791983764,31.373633814710463,24.849859061795854
495,125570.77625570775,31.30636719399972,24.791633851163997
496,125824.45459157787,31.239375932205995,24.733645866838156
497,126078.132927448,31.172658343565402,24.675893853071354
498,126331.81126331812,31.10621275599435,24.618376563153465
499,126585.48959918822,31.040037511014187,24.56109275925862
500,126839.16793505834,30.974130963596668,24.504041212439777
501,127092.84627092846,30.90849148202502,24.44722070246062
502,127346.52460679857,30.843117447747524,24.390630017719463
503,127600.2029426687,30.77800725529436,24.334267955213974
504,127853.88127853881,30.713159312082663,24.278133320385763
505,128107.55961440892,30.6485720383323,24.222224927039868
506,128361.23795027904,30.584243866914374,24.166541597315103
507,128614.91628614916,30.520173243261233,24.111082161527044
508,128868.59462201927,30.45635862518489,24.055845458139295
509,129122.27295788939,30.392798482815735,24.00083033365541
510,129375.95129375951,30.32949129842612,23.946035642517092
511,129629.62962962962,30.266435566363565,23.89146024708548
512,129883.30796549974,30.203629792883504,23.837103017486655
513,130136.98630136986,30.141072496062225,23.782962831616327
514,130390.66463723997,30.078762205674558,23.729038574960562
515,130644.34297311009,30.016697463075978,23.675329140619862
516,130898.02130898021,29.954876821084007,23.621833429175467
517,131151.69964485033,29.893298843899935,23.568550348618192
518,131405.37798072046,29.83196210693301,23.51547881431352
519,131659.05631659055,29.770865196760504,23.462617748874248
520,131912.73465246067,29.710006710987532,23.409966082138833
521,132166.4129883308,29.649385258119988,23.35752275108172
522,132420.0913242009,29.58899945751962,23.305286699716202
523,132673.76966007103,29.528847939211857,23.253256879089268
524,132927.44799594115,29.46892934388496,23.201432247155015
525,133181.12633181125,29.409242322710064,23.149811768734285
526,133434.80466768137,29.349785537267124,23.098394415457538
527,133688.4830035515,29.2905576594325,23.047179165668766
528,133942.1613394216,29.231557371334063,22.996165004401423
529,134195.83967529173,29.172783365169902,22.94535092328144
530,134449.51801116185,29.114234343180684,22.894735920475295
531,134703.19634703195,29.055909017513493,22.844319000662903
532,134956.87468290207,28.997806110159328,22.79409917490725
533,135210.5530187722,28.939924352815133,22.74407546064844
534,135464.2313546423,28.88226248686629,22.694246881646155
535,135717.90969051243,28.824819263211246,22.644612467880393
536,135971.58802638255,28.767593442229533,22.595171255530133
